Opening Date,Closing Date,Trade PnL,Symbol,Strategy
01/03/2025,01/03/2025,320.50,EURUSD,Scalp
01/03/2025,02/03/2025,-85.00,GBPUSD,Swing
01/03/2025,01/03/2025,150.00,USDJPY,Scalp
02/03/2025,02/03/2025,210.00,EURUSD,Momentum
02/03/2025,03/03/2025,-60.00,GBPJPY,Swing
02/03/2025,02/03/2025,95.00,AUDUSD,Scalp
03/03/2025,03/03/2025,1200.00,EURUSD,Breakout
03/03/2025,03/03/2025,-40.00,USDJPY,Scalp
03/03/2025,04/03/2025,300.00,GBPUSD,Swing
04/03/2025,04/03/2025,175.00,EURUSD,Momentum
04/03/2025,05/03/2025,-120.00,AUDUSD,Swing
04/03/2025,04/03/2025,80.00,USDJPY,Scalp
05/03/2025,05/03/2025,430.00,GBPUSD,Breakout
05/03/2025,05/03/2025,-55.00,EURUSD,Scalp
05/03/2025,06/03/2025,200.00,USDJPY,Swing
06/03/2025,06/03/2025,90.00,EURUSD,Scalp
06/03/2025,06/03/2025,-30.00,GBPJPY,Scalp
06/03/2025,07/03/2025,115.00,AUDUSD,Swing
07/03/2025,07/03/2025,260.00,EURUSD,Momentum
07/03/2025,07/03/2025,-75.00,USDJPY,Scalp
